plaintexts,ciphertexts
785788A5,51e78c49975a8929
86898569,27a23a49f2c90cc3
75676669,419d7898e9b8e2d0
77897688,3339917bac16ce32
67884688,b6e11f5766ad4b2c
9897387A,eda45b1d1237864c
A97376A9,2a6ff68559e6c6fd
49A96A77,f9350ac267d61e94
88588779,e698158e22faee25
5A686879,e3f3057e94f1f0ea
79787A53,c526b7c05b434d6
78987796,5c643886a20182d5
A4658757,989f65218a03a7c
88768686,5666122951c98237
76767698,ab19395bf07d99f2
58657877,d4631d23b20148ab
58857787,dbdf20ed234cfc7a
976A7799,5b2ee753da538ec6
47999939,a34a59faeb9d69d
52487688,369c38cbfbf6d0d2
96675787,927e62a0fa77c305
87589557,9275cd61192e86e9
66858887,96d213d61748912a
88986B85,f38f85de8aa83058
686878A5,c045503c12243f8d
67565747,3eaeb245a854957a
87777778,4ee7ffbc100732b
68768876,ca138d1da1595677
87977778,afc0fddfd6e9fa2c
76887468,3f71b22861598082
77867776,44ac2438da03112e
67877989,81781cf6c82648b4
77878866,5f9e6bd4801c2aff
76588977,d91b94d4001ea04e
78787777,e4c3a7eafa275b35
8776A967,f30fd5a6b6e90366
57567986,d20c1566e60ca869
46B98868,30dc41ef3090386
58675556,247ba453caafdac9
45777868,aad0e01fa0067651
67974687,dde07f8b13e1f7c2
77867868,b1b03cba040cd7bd
57768746,eae52b3f403a5348
73776676,cb569e72ca20bed4
68885997,79f9f3c2787e8b17
768A8857,274ecceefc21ee19
76677577,59ab4b5b074db24f
77694776,393cb0fe01f2e3fd
73886573,2c73295f45ce86bf
862A7766,d2f60ec0d17a9f2
59787679,5482a722961644b3
A66A7967,18053ad1f8a8e81e
766778AA,f591eee2f86ee40f
76666B76,41122aefd07fcf39
64547596,f2fdf9ec86df5290
99479586,4bdcb0acebd407dd
6847676B,e79fd9edfad95dba
85857553,972c7fb96b2b5173
87866967,a0a8e121601c2af3
56877668,6be849ec13039ce1
977B5669,206042c553ac32ba
9666896A,e3f1a2bfdaf5ce7d
689885A7,e5e5591828299071
7A867953,ac726fb6b27b5ac1
A3B7A844,5c15f1301e920888
9776B787,13804920267bb0fe
89876867,9afae265f84e4559
76386878,9b8cab8b56909586
77767885,6439242f9c53462a
98788874,22df12863c0b3006
77665899,2ca88f5dc7730d13
79757897,520a9c082177fbf0
47797957,310851f1a884dea8
77A77588,35e1437e47b710d6
7878A859,105ada00f53fed26
8779A598,35448025b8dd1cc1
66697655,aedcb81812c183e9
7765A587,2867d4534d48f42b
96766758,95e83c54ec963196
99479789,37f8b8e029e982d5
7657A476,c830c80aacc546c2
49668875,7a5a0a570fda17c
7464889A,6376c65f6710d119
A7668868,eee2f42d88dec542
848787A9,84a3ed9d6f81871c
67896987,43369dc69f91233f
95759769,3f1befa7e57f9143
76A89579,b358f082e4f34f58
58949873,d72711f9cdb47067
5756A777,971ec47ec7040d89
98794377,8f41a0a2ed1ff997
75786987,1cac37ef62ebca6b
77866586,3a0ba66ac6d1278a
A8747777,4cd6100993c54f36
A8787789,710e8e0e2c5b494e
66767684,158529dda2a599f4
56767668,6c5003408a10fe25
57775988,4a81677daa467af0
76766867,1752597c10fffcda
79963448,5c3f11fd0e3b99c
97767876,6dfe1c5ba03d29c8
88997776,10465a6ff761bc19
76985454,e85fdc673bfb2406
97958756,c4f831f03c298a65
599667CA,9dd94fc9c7364f51
65776756,d3327b608e20411e
766A8869,31cf8a28f587a551
75578569,5ca861be74682895
58967984,4eddce52b4c95b2a
85896679,97826e0cf584d5d
7688A575,79cfaeb47fca98a
86778874,d5439df33b9079e4
6959778A,c99636ea6cedbad9
49687887,3e8e5f7a5fc6a6d
86976476,4beaf7e0b8040b1a
96677879,e030ae9a785ab5f4
67665878,e8a38aa8dd2afa32
78887658,c6cccb7e7223698d
8A88A789,e79f386fbd5558c5
96766669,9eb3232587a9afbb
76997885,f0ddcc74c3cb9ba0
76665877,559d3a7259385069
89895767,c11c798694d4ef11
9A887857,f1c8209ffeab27ee
89A86687,69d88610e9946795
68746364,66c63e9c671ba392
787B7687,e86f260dfd93c5dc
76986768,8315bcfedc7cc77f
956679A5,3df073e4d29f286c
7858A847,b74ff3ccb45576c3
87577758,b443dda2d43af207
7A76967B,c77e1940ee79d8b9
88995995,2ce901d9d8feb3b2
76937767,c1b65c8ebc5cad83
89875578,53d7e8c98a19ec
86A56965,c4469ca719d3f490
84677855,34449c0637a3c8cd
96745886,42df25db73a366e3
65CA8987,439aff97928ae504
56888967,f08f79331ae44e41
86878898,3c4504b9f92948d1
78656974,27c498a9d45d85e7
83667768,595cd3a43dfe3960
5A757766,c7254ef1b51f6adf
97669557,e897a71b37c3aab4
58964957,63fb9c0544e4cdb7
A7647795,af36cd7a7257b3c8
7768778A,f94900f5d931ba98
77899884,1888f0f5936c984c
95675666,ab90cc06a6b2a1d
A8888667,e91462b9f26cddac
8A866657,67a92a54967500e2
86599A67,bde04cc590c03b50
85898868,3d3ae11de4a0fa1f
79886956,f41ec64ac5e73cd3
77676988,4408e8f8d4c4d5fd
77789766,6baa65c42e6b8d52
7A74577A,7287a0463e9c33a7
67687456,c3c8fd255ce2a20e
B5775958,e20da1856f609f7f
69857545,41d179f1e09023fc
A6656886,b603a01f35b719ff
7967798B,14a81537e658966e
58667647,929f1beafea81ed9
79477B76,8285caa2f6dacc27
47785667,55dc7238526d6fcb
77757A76,3d0e314ed4f21e88
758A9775,933f0193a56c0868
87768867,7724df62109e7cdc
8966669A,39207b6777bca6e3
86688977,e67e223b0d5a34ce
86786794,7a4bc20571c4e09d
585B7687,b706a5bb13da832a
89654896,8ff74c8e72ef14ac
57766759,c8647ae6ec947573
8766757A,e40b1048b61b025a
98665676,eaae0bce61b6ceae
6B67A767,6f35362d6081b1e9
99677677,48db7c164e50fdda
86856886,569d29fea024aa4c
55667867,2e3e0b4ca43aeac4
68588B76,60c91aa1cf073a51
74876595,5bcf34c3503c37a7
84665667,20da27075f7fbd03
75768877,c737931a04b496ec
A6696767,ae50a34717c4e0ed
67568798,c77f03b16aaf047
67679697,dcb8bd1a37fc80ac
86868876,37e12387bf8a60ba
78776977,5d4cc21c1035ec80
96797877,17d80fe9fb8df54b
