faulty Plaintext,faulty Ciphertext
85844777,3fb37073831b6fa3
86786679,6249d0d82fb20db3
87867878,20bb940b64027b58
97667677,e474087bd29cfd03
79558677,2a83639409def016
68869A66,a484c733799251a7
95888478,f52b73508b4e4820
559A9877,9d952a0f4bdfbc6e
8A687778,e7d84803bbb33670
B7676775,f01a44096765c134
776A6777,ac2dded5edf9fd29
69587977,eb1a779d4393bf36
87767379,5057b345b8b99628
77897889,9994414a670164a8
89767A67,dfbcaaa65a03d4c1
75785678,7e87a770d574f82
85678769,f74f30a985503cee
66686977,7d769278e295b910
78447754,1b8115a0f8562f2c
76868875,fdf98292c3d4d7de
66876758,aa2a57a6592b2f5e
7794866A,3966618cd0904daa
64688787,77d78b869c2d81ba
84656668,a95a79eb7f16f6a3
75684878,42e02a41f33cfbbb
77465378,a29a43787080b84d
97665989,b17816e15da41b44
78366568,31e0aa0d69c499ad
66866779,60130d88c97e4852
A786A677,6444d0fe7575a0ec
77676888,ad0aa408340cb307
57974887,fd84f40fd131bc5d
65888668,3ed268310253f9da
67A68879,2f2569b8b3f33263
67676867,c9c4de09735c729e
48895787,b7dae43eb43ba356
8686647B,d735261963d35998
4687B693,f1ea02d61ee953b
68756676,6b756ebabed5e0f4
886787AA,1d768527c2861ffb
66984759,7c47d59e5c10da78
48777968,cb1078b1c0fc4185
49987859,1e683917ef7997af
79767834,130c4315c33b01f4
96488567,a5375410f32f5389
58888898,da5c13c3291b374b
77468897,6b425d0b1d640a9c
69875666,ccc4eb24aa960959
87795756,42ed12b875cc92fc
75777778,fcc56c6374ee8b88
79A74787,406df3b51c536bdd
46677678,c8f1eae86a9cc5ad
45887858,76a8c6524084f096
77877787,65cadf5f55ba5c68
59664885,d63fef42920a442e
56648777,72c9acb57388d54a
5A6A8877,9e03ad765a5dcb4c
67875855,5dcf89feef7a8d4
88894778,61d1b818117762bc
66474798,b4e3e92a128c30d1
68874979,27d59287b6e7ae0c
87698595,ee0fcc3c0c214e88
87865676,545c14181d6e60a8
B6799466,f1981c806a074ce4
77888685,3fcd5c2ac920d267
685A577A,f5ec44e28475ae88
77885695,c461b3555ba91a4b
86766789,e798defe556c272c
96659788,625844537c5ba2d4
85858677,433bfc81ca2faf71
77868776,1df8a530f7b54be6
66568747,f79736e6aaa574cf
95864956,24ccb1521a7b4cf5
76986667,9b1438848455a21e
87876854,a0167ec0579dff29
75778667,56bf209ae0bb8e20
84874598,454fbde0c089f215
68868968,1a7e476b49937f49
79888779,d8383fff7613da9b
5884878A,14dc60a64cef144b
68778854,bc9213a7813ac91d
88777675,e6c4b53cb8444535
78579746,128636f90c67f5ea
7775687A,97f2bb09c55f225e
69997769,954cdfda885d8f84
67475886,2341f51eeebb7cdf
68776696,61d6824c4a936aff
99776788,5578235af504bcc2
66979754,a4d0d4b37826115b
93788767,ec4b10372c636600
85476687,f831852ee2ef78b7
7865A567,43f209d45817811f
77589776,d4a2da53a47cbee1
AB4A7669,48323812fe76f355
776979A4,c663a1ef5a9bd083
48596897,79b6029792e1fb91
7A647779,4d4ada2a50d243b4
97968556,598b6dcead459408
68758789,426d4863cc1abbba
8A574859,efe050892a8b0d82
88767577,97f46e33e80454c8
85588687,4632de6540152074
58777777,eac28fd8ca02a1cf
78978946,e5a9361e41e6c7d7
A6669756,e91d05446941e284
87877663,86f953f1c300a5d4
66686976,1eecb08f9e623956
59779686,566078b34466f375
567B7786,77ae9ca7775dd5f0
A5677978,c6ed42cf832744e4
39677898,b19f1079d7bfc90f
B467778A,b662761a572648d6
77477679,fec1c8c03953afa9
76866697,40b7a47f7715c95d
68A48575,9b8b7fa39d007530
978A8658,5150e94edd753bad
547797C6,839c64df5f14930e
4767656A,7b8626573fcb7849
96679778,c02698837f2dcdb2
66777767,9d90ea9e8e421836
75657687,102d85cfca5f82ee
66877587,5dc8dfe1a441a999
78888765,509e59b891806ad
79774876,eed22d88d739262d
67B766B7,2cc1a4bde5a963d2
78976878,565363cacfb28036
65586689,56f8c15a7a083ba7
8676A867,1af76e24b1ca65c3
66968678,6b5df03927efd445
687A766A,c0834db4c4b15d0
78776967,977b88951c200269
47878699,3fa82b2617e00e00
68876776,e53ef1ee66cd8660
98887455,28f9c66190305ce8
79877768,a0ed7b66b6d7ce03
798884A9,4677102b8dea900e
47666677,ce88f9a2cbd7ea64
59487869,a4960eacb5013818
89887A46,db4abd2cef0da055
77467687,55198c2b8ce3b71c
65757666,56017847850bb009
66558595,7c57910decc774c9
A6768668,46ffd61963c86031
87789684,9fe5d20edf47ca77
77977569,76fbfd91cf6fd9b8
577A6797,337f73daf7d2583
74698676,f441ef44c99214b5
78387677,ab887b805db46a17
47964767,d54da324c4b75b65
88AA8657,664abfce55fdc93e
76786559,f88de1e6c85faf2d
7566A695,63b232e6d9b10af6
B6976686,a399e061ea2baf6b
47659868,3ef1c20f8e72f4a2
77686866,9a46de689b1727a4
89866667,b844463673616787
5A857855,9efb12f28ef92b4c
78966845,47209e2050321db9
A777B98A,25b37b00acce0006
A5485967,9d797c613277e1d4
56777369,795bb45e03457fc0
67787768,20371ccbd68485f2
79677786,7d6693e6b564c67c
77868668,dd32690380c8836b
87898485,898c1b58f1abf6e3
87978697,b5c230ed20a9f604
65886668,7381eeeabcd1f10c
67879767,3e1e238c6d04b81d
C5675695,d0c5e3302a20ff02
77646578,8143f687d54c6e81
57669789,e186d5da78bbc90a
68466797,aa5e9185e0aef5e5
87667857,24dc5ee3ce4041f7
88588978,95b8cb554f731343
67787388,574a3f18ed2249b4
