faulty Plaintext,faulty Ciphertext
69765895,581d18a76358ad07
47694856,63a2dafba5913464
8655777A,246bc2d32c0ca4c4
85656686,deaa2b7bb4781dc2
85977788,b358c828113c920b
98678595,c7ee9d157051c322
57887854,e48ab651504ebe85
77776775,923123d96bcacc57
66796968,ecf5c87d55cb188d
76495866,a61a102df8c3bb3d
98767865,1f785ce403d971bd
77895695,1d11237113e5eb99
455A7866,503375508f664906
59896685,34409cb524386a01
C67768A5,9e7600aa303067cd
99646886,55b924c4c90b0349
96877867,5e515342fd411047
47657956,3c0f940b3faec66d
86567586,dd3820b27054cdb2
37675868,943f1f259dd14ef6
A5787868,da7291e6e5c1fcc1
88678688,2d5b6ee92877f0ae
69687865,380d173e155b7a1d
5A666943,26b7842104ff2299
88768874,aed5b371a31403f
99789565,a86afec1e4e56b4
76647597,a0832482504ec7e2
57778658,3b24ea026f9aca75
A5688789,fe21c0e0c19adb81
67786768,94c73e58cc2c3809
66967785,196723071a1de7b6
8678996A,5a8a41b964be05e3
69837787,102be7eadb8b41aa
66486667,ddbb765ef23e887d
A6A45695,8aff5e9bcee64a45
9966C989,ceb22a1515e6b463
89898786,c9e74096baa83a48
8558A858,f4451c6f050f019d
76766A59,32c1562bde455755
69777464,ec9f3c1a5fc97ff2
67967777,e6e9d647fe1c2bf2
87455857,22635f22037401e9
77788687,5c265d4db38ec4ff
965695B9,1b73173de670d698
85886859,c33b3a4f528df81c
88869788,61b2c4c0a7eddb9f
96838589,de14a0d4e95f0739
8A758477,916ddd0a90b5756a
68767879,14904940bcfb395
88987867,3673f35b20509e88
A5867676,f441680e88fab2b8
67768878,21f0550e5fe15a1f
97778848,f51657904732ac5a
75866787,603660e81899e45d
656A6689,69c44f89a16ec4f8
88566B87,61bda8fcf0a04410
58757889,4155d2c43233ed07
58765669,a8d7e5e9dd5fc1dc
66A67967,17244c67da89df5c
66695879,6c3c2e4b6484a7fd
A5789758,8654c12f6bc50baf
88655656,b408f0646df67300
687A288A,78a8b606e9f36287
57669AA8,f5f4bb2048bd99bc
86777947,94a1b66709278abe
78675756,93cfe486b0f2ead5
79667666,362566b4bc018bb5
97955676,fff106db1f6ccc8f
465A8939,58da02ca319a6b4c
7C75A586,34308c1b9bfe7898
87996396,1266bc6c80619a16
79A76666,e0e023801156ecd9
57976863,d25dbc2c9169b603
6D67A897,bedb6557e2ba107e
48599588,c61abfe41a6d8c2c
67869898,557779344978b9f7
78665785,b582a6a06615098
78788988,6dd228b4d39c1a80
79559989,bcac060a6628cd8d
68976887,468ff7b8237592ce
85857858,75188ccfe331161d
89666866,ffad87733f157b67
66877686,1596be0d7d7ab91
77547958,d0a5e38155b20616
77785458,c76a67a74f1c4afc
45669768,13ba8538128d4118
755A6676,a268a170d7589efa
87896887,bf1eb90c14930925
87877789,ac2756646b33a2dc
5867A768,586140495f896d39
48777778,f585e4bc0b99be1
76968797,717c18f51018f2c3
87766836,dac882781667d7e7
6A967998,f85261e00864391
87955878,b7117ee9dd5d23c0
7A667556,15b8d7161c933583
77996866,ab9f3a39278a97d
89796664,d767b82cdd30b87f
55656796,ef9cbb692334a8f0
77688666,afbde18498ce4963
98786785,3becb8f2877859f0
86557746,aade49e81bc98d56
76975793,cf0b883412e82344
88878997,9ff65821e9a1c885
79996668,128e823962f0a0ff
6786679A,ac0cc9be9adcc7ef
68B66588,d2882bee25feb244
49856977,551765dbfd169380
6767A856,fdcbe64abc8f25d8
A5776799,b10e6d98d2cbda88
77798877,835f67ef51a38547
68787667,138db8a1a4f7e439
A7766878,2412d105a51a1f9f
76686564,90b67edc020ddd91
6A87A375,18a373b852ecbb83
64777788,aa1ab582ae4e7bdf
67A68665,9e0e617b4a68694c
A6576688,9d6d5edef3260f48
76535776,1f9d78ad8684e86d
57878876,81caeeb2397026ea
8477778A,3d77eef828ce44f9
98996896,2376455ab14bb0f9
48876877,ae1f5e7ec940e55b
65866786,43fae5cf8156add2
75864757,7f0126b49dd61fad
C7988896,48aa86c018565dd
6A387869,fd6ebbd28152a48c
65789866,c2e00442ddb3d2a9
66858855,914b31c12d8431cd
97766766,9200082fd60448f0
85568B58,5253ee8ddb83d373
98888776,46f1cf18e43cfcdf
55896585,1827b3b8562b0a7e
6A6A63A6,77ed3bfed293d583
98865628,d426053bc6a626a8
85A75446,7df8efae0d18332
77777778,234a965d48f68b75
67669858,7fe7b68c32a14e5f
76678888,8a7351dd094f5a6f
86678577,7ee39b535bd9385f
68678659,437df13cd9c861ef
55787766,2c03e3d8879fbeb6
69778657,ee7142a76c975c58
9B769A85,b4fab6e9cad8307b
77886668,92b37cc2eb1e1dba
59885668,85bfd247eacb98bb
68797686,fb2f9b82e548f2d4
76657787,8ee4007d5e8f3a4b
A4A68897,96013c18757b066e
55587889,a6130d76949e7be8
87866A9A,275ec398567ed26c
878997A5,d54edcf7583382b7
88466697,c1fbda40b6655690
97959757,41375de8a3322cef
68766757,87e1d129b10749d6
65877674,6088aa1cd60e24d4
7469A786,49b7807ee650f9d6
47786646,48e9e99b548a4568
778588A8,64a6ea94777c176e
57579586,bcf6602171f5eaae
868677C6,b9790126ae54ed5e
57683695,5534b0ea9d4d90d3
97777687,dd3c6df5d5bd5545
73746457,4dc1654e65252eb8
A7958667,77b38b4aef06807e
98887667,be15bf777953ffee
87998649,4e207fdef6b297ee
56594688,8bbf951b58acf2f6
67978766,15a377b468e44443
76667686,a57f83886360337c
76666967,e7029b44043e5d0a
76A78776,759843f43e6eb72a
68B87788,30d4ec181e0a072a
98486677,f912fe2749bdf51d
B8759A6A,2fb2fc78402ad586
78857579,128b8a7d6cad9d3d
56877687,162ead3c642e698b
697578A4,7e7c9f0dc3ffd78e
6A668546,3520953f60d9204c
76A75757,48bfbc27f277c56f
95756678,e1cb181d5a79c3b3
78995678,3554000fce66bdf
77668895,1f8462f9dcc1c9d8
6A687777,210d25930c2ef157
78775886,558d1ec0fa7625ac
88888867,565170fad2bd5f72
75657885,c51ca565fa0e481e
66868669,4ac76efa1f23fff4
84796656,c1720e92864641bc
76866875,8bdbcf3c2e46b6bd
97486977,653f8484ee560dce
666A8776,749ca6cce7e50f9a
68779564,9e6505f67815bb73
57767768,e1822e9cee1ec939
87477579,d6081c0fa245914a
95767867,db0279a57fe7e475
46889984,71d466944524bce8
76784686,9bea8df55d7e2a68
78778879,42edb7684d651c57
65887756,f020d8214d53917e
74A67767,a3c8014eca9d19d2
96788876,f261f6fcf3eb1553
85959587,5b93a7dfdd31e234
68695687,b6d9c06c1cd058ba
95697878,320b2e85983901ed
6A878865,aafe650a597a70e1
96486677,cd7c1725570eaa7a
7A788767,3a18d56eb9be6fc6
8A778698,6f97b1d2f6aa50aa
85A88867,2f670bd23c6bcccc
687B5887,7658e0d04dc47b6c
95666696,415f0b4fda24ae68
5788A668,eb4d8054e33ea1d
59686586,8f2af45b65f39882
77A7A576,37dcf084755f3048
7B678866,bd58249440cab37e
76747689,3cda89822d9c820
65587747,378bd63b2a424017
78AB6887,938cae64837d2a24
77799784,932fc28eaa6ec2d
978BA779,f8dfc6062757f984
665778A8,9b454991ba957d74
7745B688,8482555ce6cccd17
687875A6,6f9baba249b8b6c
66985756,50e35f01c28e83cf
67847945,85bd378d10932985
98848686,9bf423ddf55eea68
57769976,68d051e904eff4ea
65579585,288159ce0de6c427
78576757,617209b8d44963fa
56789876,eca6dec6ac5e6212
78868877,793c731be1740fa4
97499554,69c2601528f76345
6778A888,db86fdd12d35a61d
57688645,b96b8ec61011a3ef
56685479,4614da200d3e53de
96568599,8fc552a1fc53d094
77B97856,992321ca37ad77d3
97696769,e7b71c670ef8172
56777556,e3969f5ae129b50d
75865558,9302e5c2379e4a0b
88688659,1e61ef76ac2d77f8
87687679,bf525ba370a8fe6f
57888789,aba78fa1e9992462
9778A788,9b33427a39b3db86
99876976,dc96d49ffbfc83d7
78B5756A,87d731d2acc01047
76788866,401bc080443991ac
4A876884,4046903640a3b656
A7A758B8,bc8454ae6fb7d174
7595754A,701324e322cc1137
76568857,da3fff539318917c
75599655,9e8f36ce9385b5e9
99689778,96b3bd9a3577d902
58786868,f72af8b8035900ce
97689887,eac3803542b6029e
7A668778,1579616e7572ad3b
79478659,fb370ec8789048ef
99678697,e43ce8a7ce85e557
77888778,22c0b52112efc2a4
77876459,fa145358d92f825f
98879878,c3640988982862e3
77998765,c8df23b0566d92cd
688A7666,1beca570f1702fa4
76768A79,c09fd588e5b84805
79768776,6db62b5c2f4730c2
76677575,7ad9c92c245a6d74
5676A666,f93e86e80fd16d1d
67754687,953f7986f6651a8f
68898598,7a07cd84f4936656
76568978,8dc6e19356d2c8a8
77968888,9fc1a1e4f25ba156
75857678,f37a9998f4cd477f
75768776,5c079e6ce6729f17
86768879,c721db350abe6358
86777487,d3d7b4823b9f2696
77868674,c5b4bcb04376ba3e
57587864,10cb7ab553d0922c
877586A8,1eb70a1dcdc1f9b
888948A7,6e8897bb0b77ac31
96975996,b1c59dab136020f6
78777676,a8160270f58c36df
97796777,7a203d064af83f16
5765A978,1e5aeaa453b881f4
467A8668,bfb1f5ebdd3762c
87895666,19d0794f1ee42282
67675964,20aafc9fd47674e4
48975464,a0b6c576a499f165
3767AA79,9e83d6cc66aaa277
66766787,2d3463ee3b854444
8898596A,1ff754f7a76571cf
7A87A457,6d74ab346e079a69
97678556,8bfb4de43858869f
658768A6,e1b34c778eb36363
9866696A,1d574716903d501e
78697986,631f95541dbca49
58956568,ac90d5a2164443ca
99856A66,83f6aa7ac385b3fd
46767698,5fb075a962556a94
77669588,af210de99d24e644
73989757,e407ee412a5dfa28
88884858,761eb418523302fc
468866A6,fe4db0d35af1f7d2
98797665,ccec054ba815f6f3
7868566A,28dd5f5f98d595c1
86699586,8278bae75c7a4a7a
77668579,ab416f5fb74c58ae
77A94667,993911cc533552f3
A6686977,818c076cc5d6b3ad
77897765,4c6b4f0c124d6c68
48688879,5bb5473e9370cc61
886567C5,36209e4554723de5
8676A767,fffb9c1d1cf58759
6A866776,239247001ae94384
78588686,929f940964acfb2f
66958876,b0b05c38bbc931d0
46688788,bac690409505b22
877766A7,36954d92b8875d0d
877A8755,1d9a63f1b4537cc2
8648665A,d29db01f9007743d
86545867,2b15a3cf36d82683
45688566,12f2409824e71e60
76774668,b628619deb051595
67867598,e56ce572098226a6
87859887,96a0d4346d486529
79778576,3288ffba71df92ed
87776983,8957ae6c1148daa4
85967796,ecd6e6984163690e
49669678,10da5958bf8262d9
9A875787,1b607f501c1e0fb4
67685866,acb47571a09ecf9d
7C778667,2aabcba6f4877e56
AA8576A4,9567d1286e1ab3c0
56689887,3e7f72dec9e5824c
87959759,933d72d8801d6f33
85B75A97,5e21bfaf880f6172
A5978886,1b7cc61626276414
77886A64,20fde5f8c36808cc
785A8653,8d1133ddc3fa31b7
35876686,13aaf699c9a52361
56847758,c8a359059747031c
67A36599,af325e0cfb0d61d5
66879887,28cf24aa13932228
78878874,1b99fe98959e615
87867875,388164a8f5d67dcc
87A66A48,e4bb5d689281e017
47876A87,304e8bf733a3aebe
77777667,852e0762f75397e5
63887765,3053292c6d612a87
77A78754,5c3fe03d42ca04ba
B6688776,3eedb571c85b642
76676689,8f44ab2be22edbfb
88776966,19de8a0fb37d82a5
76885694,5474285f3f8d4241
C8977677,aea0e6163e7fe2e7
37996876,5718a7bee72ab557
8A676568,f91a16c55a3d1633
7878676A,af28d7469059ca47
36698776,72c63b15bc634865
56758776,a40dcfe0abfa89ae
66566888,342cc504f2b4e698
78776996,a108981267c6b9da
76C777B8,d711a1b2886e4a75
A6777889,9098af9aa6b4306e
87576777,d3562cca9abb02c2
69874697,ad0bdb97368fe12c
7669768A,ccdebf674737f348
65667988,8da871b33ff21d37
77479979,b656b81aace69623
79766658,d0774402fa35d40f
859778A6,3b5fd68e16f83245
B76467A8,b40cf3d1cf8e989a
66885664,919327daeb6b514b
67878769,1fe286e5c073c1bf
75476844,a486ec668a90519f
586A5847,6aa49e01e40f7288
79596966,c55d2a7513ae01fb
68377636,4552a66740b18ffe
87A76868,eeb8199ae33ddfc9
77769687,38ec8c85eeef2daf
96777668,10ec9884c583cc48
87598777,b23e81f7bfd2a6ae
56AA8969,fcd30364f74b0476
68778883,c7d689b27011c4af
85597779,b965711c5a3145ac
66387588,94caf3c73bd9e050
78A64877,ccde391021e9752b
96967867,e747d6b89ced8d25
85758766,6fe715764c79a1d0
77676A56,c0255e06ee162ead
98786868,fb90075c634bd30e
6B758576,bb766831a52468a6
6365AAA4,526f58b6e972ca08
68A89986,646411b89eb2a3a1
99883867,79018a6c54b96097
A6644555,d41823cb57b56fbf
A4867487,9108e4809d022c22
66765578,2e05c57e95d1b656
A8696566,3a43777a5f824003
59678886,7739378ee85cc69f
57857796,1ec5eb783a0edf07
5686B7A7,debb1eda443c8921
55877887,22e3c5245bbae5be
57767677,712a0c30bfce4f0e
87677868,c42c13d5ba924ca4
6868A767,e1f3e442ed2d939a
74678688,9f19b65feb5826d4
986597A6,92f7768ae23ba640
85758776,e2b3e48a5ce1051
88668997,b5630ad8da278605
78677877,7de30706a39f7474
65795576,a9ea24467e54a96e
78589767,74b41f7a9b80dbd5
88969696,9bd795aff84623d7
87485A86,95312918656a456e
977C689B,78b771cf387270a4
7538934A,7b21cae91824546d
67996788,8416ece77ab101a4
67677864,5ebf126c96594594
75846567,86b29cdb8f8736c7
88777688,49311f2fa1bb81c
55777675,65734a2a269ef30b
9A765667,5246fb041a754be1
76586677,ed2108b511b3e8ab
768767A7,12fcadce3dfd660b
55777978,6c461e80bb6b9187
56855976,90c137cd1e586d6f
75755675,f2c3eaaaa6b748d1
77667565,27ca020eb381424e
8966995A,b8de87e61ea32e24
97784767,ed5053f1c957f0e6
78879886,9560d16c61b7da8
37A78899,879e38e5cc26cc6f
77767776,7ddce1f621920aad
99556647,a4625c3c39510594
8977A6A7,8c43dac4b2059cd8
96677867,f7c1eecfd8e60cab
8859A678,c623c0ba66bb410e
76867867,dcbf7e8e7f494a4e
86576877,f353b23e8228ae2d
67776888,3bb09dfde771196b
97677786,65842eca938862a9
79569499,ffc404ba29557abc
78997798,48951bc599c85acc
76885566,91ef1dd5fbaed408
86576677,97b9b18117914b76
98974766,2f25fc6d13dcc47a
67769788,f2118b1be4c32925
77975798,91d0ca1927197f2b
76575766,f8bdc1cf653208f4
77665868,44fd5966807b46f8
58767985,c2482afb44e90e77
98855895,dcb1a7886055d21e
98877856,757075a33b5c2c0f
88878957,5eec13324540e94
45675869,8af0cf45a80dee13
77866887,38374bf45b0f9026
76865997,c8fb672670eeae37
68877767,9a8e779b34437c93
78567687,e2a6cd849cda25f9
79787766,4314a6446bdcec4a
77859576,a94383be0c8a2e8d
8788A656,be158de6dd94d48b
95999679,dfcbc4bc4c5c4e87
55786566,bda7a4c20b4db211
87898B64,ec666762403621fa
5A674466,18c8d2063cd1d837
76898586,77729a5c5ab3b435
56696967,66ac4b9ac6056374
84685787,d0e613b87a99ea9b
98597756,a687a3e8e818b812
86696647,ce7c009fbe578c94
89985886,89f3b5846aa98c53
8697995A,f6f6528cd1804640
A6A99757,c970b6a854c9418c
595A8776,bf1b1786ebd601f2
85777777,80de60c666716bca
76686976,c281ddea43650988
94766975,dc5866ab11d09541
46674979,b030d1f6b6c73567
86978788,6d094f0f4a6b57fb
66696877,9f0711a75011020d
86878946,fdfa29858d796f3b
77747557,8de32f6069838f08
67AA8747,dfdb367febfd4c7c
87886846,965c76ac070942ed
66877865,b398b07537f3772e
887677A7,aac279c10a81f232
A6437588,4416af1f3a39966f
68685747,e84e6910da1395c9
A7B76464,491861e61e1fac71
7A547576,6c02cc9ec2e3fcf2
96598557,cc0d64bd1c1ed46c
98898899,1724857a20a0274f
57745588,1ca973fd6750bc0
57677668,38a20bf76fe81b59
98965976,44536a090c6da66c
77787788,22408a725c0ff5ad
76886877,47868554f95c4582
46897A79,4a8fc3944f129d73
66766987,70ef25514b3284d9
67888786,e464454fce3fc172
8747A877,e9a2ce0cb165b3ad
68789888,9465d43f41e85a4d
87786877,673dabc7758468a9
77A97566,207d5edf897c66ff
86379678,4cf4c0527c531aeb
7A956548,a97ef5cc88944c64
66468879,4ee6a0e4ff80e38e
78875976,33a8c456ed909715
B9668646,93d5a71a58c4d03
88548689,a68559079c6c6ca5
86696787,6a54aa1e5425a68
96768588,7bf845a679d0fac3
57967488,33af7ce6a6dd55d7
97758685,3182166e69f13717
86767976,26231bed28b1ad
76588865,84408f36f656292b
85866726,23ec5ed0bab0ff9e
45976498,5101bab41c537350
88776985,a556a02d08615ed5
76885896,72728a1bae911f2
48668865,75a861a9feda1855
64966988,5fe776916ca480e1
98987687,1089f68012c3b17f
95887778,c079833e5f7bdd7f
67587976,ff1f1a821a9d75eb
76B7AA77,c25a77ac039d55cd
98686887,371f8ae2771003ba
76858687,6d9892eeeb2f0efb
67777767,4c45265d62a088b1
57789648,1da5bbf924b9bc0
4768A878,cf17ddfa7786dd66
77887656,d450cfdfe72af26b
68897586,9fc78985bc6f9c96
89768769,90a1b43a8e56f627
74678795,6696d160dfb16d7c
88998676,2516eeadbcfbd0d5
76897985,56957c6828a2fafd
8478A558,4877e24467f831eb
7667667B,f8f3bcbd513fb7c1
88867566,2b249f3747ae4d5
77784668,5f996fbccc52e292
8587677A,4176bf97151d2eda
65766797,464a76dc86a861b6
88977666,7c0dd9aa69c3490b
97669646,74714338e854c944
86A68787,ccf927bdc0f02b4c
66376A88,3ed74bbaf1c5770a
78748697,b1507da9b15acb74
698B5566,a0881944fac4203
39865796,e54e046ecb501c03
87786867,9fadc23b3a6873ae
84657897,2220826d1e3c7fed
84878865,4ad91b9a1ff121b4
86679846,c905d41e58d3d32f
A8887588,ca4f96d5f06c82dc
66859769,a838b862c9aee1ef
8A476A57,52850d6ed5462083
78845974,72d4fa6040b8f44b
87655676,246f0b9b9b4fc98e
697A6A54,abef3fe1886e5f37
99866377,6736c1a041862e92
49688677,81ab61c2d34cfef1
6685A679,9d893dbcb1c20429
75697878,87a9175db43c7bbe
97689879,837112bb0ed86100
77487387,a6fd3ebc1f356ae8
76679747,7576f21a1eb1da03
766A5675,74f9d1f65b722b05
67967596,5d135ab88030b9da
65685787,df55de12ece55840
66598577,aa39e5f66bfcbe7d
98388685,b2672ff8700a02f3
58965978,17465a3491271590
77597995,e3eecb27a7461af5
67C97AA4,12fa3986ddef28fc
A9787775,ac1999a22ad119db
77857886,3aea93e54a2bc831
75688966,4d960a39ea2006fc
AA8A7996,2f4fde685d01739c
67866968,9df03386b7248cdf
95969589,f3fd2707b57b7fde
66855762,aa654a31763a304e
88898576,4ff55efc49b00193
58676479,ce904329b223c025
7796698A,a58c0dcce85c6c99
69678478,4fae5d1f41486d06
C8647778,757b24ce28c437b1
657A6677,91d7d1efbee18fe2
